age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
23,MALE,MD,protective-serv,reading,wife,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,4710,9420,42390,N
34,FEMALE,MD,armed-forces,bungie-jumping,wife,Parked Car,?,Minor Damage,None,5,1,NO,1,1,NO,7280,1120,1120,5040,N
38,FEMALE,College,machine-op-inspct,board-games,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,4200,8400,33600,Y
58,FEMALE,MD,transport-moving,movies,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,63120,10520,10520,42080,Y
26,MALE,College,machine-op-inspct,hiking,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,?,1,2,YES,52110,5790,5790,40530,N
31,MALE,High School,machine-op-inspct,reading,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,NO,0,2,YES,77880,14160,7080,56640,N
37,FEMALE,MD,craft-repair,yachting,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,6630,13260,53040,N
39,FEMALE,High School,handlers-cleaners,camping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,?,2,0,NO,60400,6040,6040,48320,N
62,MALE,JD,other-service,bungie-jumping,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,?,47160,0,5240,41920,N
41,FEMALE,Associate,machine-op-inspct,skydiving,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,?,1,2,?,37840,0,4730,33110,N
55,MALE,High School,prof-specialty,paintball,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,17880,5960,47680,Y
55,MALE,MD,priv-house-serv,chess,own-child,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,?,2,2,?,98160,8180,16360,73620,Y
40,MALE,College,craft-repair,kayaking,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,3,NO,77880,7080,14160,56640,N
35,MALE,Masters,sales,polo,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,NO,1,3,YES,71500,16500,11000,44000,Y
43,MALE,High School,prof-specialty,golf,own-child,Parked Car,?,Minor Damage,Police,4,1,YES,1,3,YES,9020,1640,820,6560,N
34,MALE,JD,exec-managerial,chess,not-in-family,Vehicle Theft,?,Minor Damage,None,5,1,YES,2,1,?,5720,1040,520,4160,Y
40,FEMALE,JD,sales,kayaking,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,NO,1,0,YES,69840,7760,15520,46560,N
45,FEMALE,PhD,machine-op-inspct,basketball,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,14100,14100,63450,N
25,MALE,Masters,prof-specialty,video-games,husband,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,?,75600,12600,12600,50400,N
37,MALE,JD,craft-repair,reading,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,?,67140,7460,7460,52220,Y
35,FEMALE,Associate,adm-clerical,yachting,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,29790,3310,3310,23170,N
30,MALE,High School,farming-fishing,video-games,wife,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,?,77110,14020,14020,49070,N
37,MALE,PhD,prof-specialty,yachting,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,YES,0,1,YES,64800,10800,5400,48600,N
33,MALE,High School,craft-repair,reading,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,10620,5310,37170,Y
28,FEMALE,Masters,protective-serv,camping,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,?,1,1,YES,60200,6020,6020,48160,Y
49,FEMALE,JD,priv-house-serv,golf,unmarried,Parked Car,?,Minor Damage,None,16,1,NO,1,1,YES,5330,1230,820,3280,N
54,FEMALE,MD,craft-repair,bungie-jumping,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,?,2,0,?,62300,12460,6230,43610,N
37,MALE,JD,tech-support,video-games,wife,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,?,0,3,NO,60170,10940,10940,38290,Y
26,MALE,Associate,tech-support,kayaking,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,?,40000,8000,4000,28000,N
34,MALE,Associate,transport-moving,chess,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,?,1,1,?,97080,16180,16180,64720,Y
23,FEMALE,College,prof-specialty,hiking,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,5740,5740,40180,N
30,FEMALE,PhD,transport-moving,reading,own-child,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,NO,2,2,NO,51120,5680,5680,39760,N
44,MALE,JD,priv-house-serv,reading,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,YES,0,2,?,56400,11280,11280,33840,N
40,FEMALE,MD,protective-serv,yachting,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,?,55120,6890,0,48230,N
33,FEMALE,Associate,other-service,polo,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,?,77110,0,14020,63090,N
47,MALE,College,other-service,kayaking,husband,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,6280,6280,50240,Y
34,FEMALE,PhD,protective-serv,dancing,other-relative,Vehicle Theft,?,Trivial Damage,Police,5,1,?,2,0,YES,7290,810,810,5670,N
35,FEMALE,Masters,exec-managerial,movies,wife,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,0,0,?,76600,15320,7660,53620,N
59,MALE,MD,other-service,bungie-jumping,own-child,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,?,0,3,YES,81800,16360,8180,57260,N
27,FEMALE,JD,farming-fishing,polo,husband,Vehicle Theft,?,Trivial Damage,None,4,1,?,1,2,?,7260,1320,660,5280,N
39,MALE,College,armed-forces,basketball,not-in-family,Vehicle Theft,?,Minor Damage,None,8,1,?,2,1,YES,4300,430,430,3440,N
40,FEMALE,JD,priv-house-serv,movies,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,1,0,?,70510,12820,12820,44870,N
39,MALE,PhD,machine-op-inspct,movies,not-in-family,Parked Car,?,Minor Damage,Police,5,1,NO,0,1,YES,2640,480,480,1680,N
26,MALE,PhD,craft-repair,skydiving,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,YES,1,2,NO,78900,15780,7890,55230,N
56,FEMALE,PhD,prof-specialty,chess,unmarried,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,?,2,3,?,56430,0,6270,50160,N
32,FEMALE,Masters,adm-clerical,hiking,own-child,Parked Car,?,Minor Damage,None,19,1,NO,1,3,NO,2400,300,300,1800,N
39,MALE,PhD,other-service,yachting,husband,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,7310,7310,51170,N
36,FEMALE,MD,adm-clerical,kayaking,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,11440,5720,45760,N
34,MALE,PhD,machine-op-inspct,base-jumping,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,?,69480,15440,0,54040,Y
44,MALE,JD,handlers-cleaners,basketball,husband,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,7380,3690,33210,N
32,MALE,High School,armed-forces,bungie-jumping,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,5630,11260,39410,N
42,MALE,JD,transport-moving,video-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,2,2,YES,68520,11420,5710,51390,Y
42,MALE,PhD,sales,chess,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,0,0,NO,59130,6570,6570,45990,Y
39,FEMALE,MD,exec-managerial,chess,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,YES,2,2,NO,82320,13720,6860,61740,Y
31,FEMALE,High School,tech-support,paintball,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,13800,13800,62100,Y
64,FEMALE,Associate,adm-clerical,reading,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,0,3770,30160,N
30,MALE,MD,machine-op-inspct,movies,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,12460,6230,49840,N
49,MALE,MD,other-service,kayaking,own-child,Parked Car,?,Minor Damage,None,13,1,NO,0,1,?,4300,860,860,2580,N
42,FEMALE,Associate,prof-specialty,sleeping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,?,2,3,?,68310,12420,6210,49680,Y
41,FEMALE,MD,armed-forces,cross-fit,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,0,2,NO,61290,6810,6810,47670,Y
41,FEMALE,Associate,sales,paintball,husband,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,30100,3010,0,27090,N
37,FEMALE,College,transport-moving,golf,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,57120,9520,4760,42840,N
40,FEMALE,Associate,sales,yachting,wife,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,42930,9540,4770,28620,N
35,FEMALE,High School,transport-moving,bungie-jumping,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,51210,11380,5690,34140,N
45,FEMALE,College,handlers-cleaners,golf,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,89400,14900,7450,67050,N
47,MALE,College,transport-moving,dancing,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,NO,0,2,?,59730,10860,10860,38010,N
39,FEMALE,JD,other-service,kayaking,wife,Vehicle Theft,?,Minor Damage,None,15,1,YES,2,2,YES,8060,1240,1240,5580,N
38,FEMALE,PhD,handlers-cleaners,polo,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,?,1,2,?,72200,14440,7220,50540,Y
31,MALE,High School,exec-managerial,paintball,husband,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,50800,10160,10160,30480,N
40,FEMALE,Masters,exec-managerial,video-games,wife,Vehicle Theft,?,Trivial Damage,None,10,1,?,2,1,?,6600,660,1320,4620,N
29,MALE,Masters,other-service,bungie-jumping,other-relative,Vehicle Theft,?,Minor Damage,Police,3,1,YES,2,2,NO,7500,750,1500,5250,N
35,MALE,High School,exec-managerial,video-games,wife,Vehicle Theft,?,Trivial Damage,None,13,1,NO,0,3,YES,6490,1180,1180,4130,N
48,MALE,Masters,prof-specialty,movies,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,?,2,3,NO,60940,5540,11080,44320,Y
41,MALE,High School,transport-moving,board-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,?,58300,5830,11660,40810,N
34,FEMALE,Associate,priv-house-serv,yachting,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,3,NO,2,1,?,68400,11400,11400,45600,N
32,FEMALE,MD,other-service,yachting,own-child,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,?,2,1,YES,64240,11680,11680,40880,N
36,FEMALE,College,prof-specialty,kayaking,not-in-family,Parked Car,?,Trivial Damage,None,9,1,NO,0,1,YES,4700,940,470,3290,N
25,FEMALE,College,exec-managerial,exercise,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,2,0,?,45120,0,5640,39480,Y
29,FEMALE,High School,sales,board-games,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,YES,1,1,?,66950,10300,10300,46350,N
23,FEMALE,Associate,tech-support,exercise,own-child,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,?,98340,8940,17880,71520,Y
42,MALE,PhD,farming-fishing,yachting,own-child,Parked Car,?,Trivial Damage,None,9,1,NO,0,1,NO,5900,590,590,4720,N
43,FEMALE,MD,exec-managerial,exercise,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,1,1,?,70680,5890,11780,53010,N
42,FEMALE,High School,machine-op-inspct,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,0,NO,93720,17040,8520,68160,N
25,FEMALE,PhD,armed-forces,exercise,husband,Vehicle Theft,?,Minor Damage,None,5,1,NO,2,0,YES,6930,1260,630,5040,N
47,FEMALE,Associate,protective-serv,hiking,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,YES,0,3,NO,72930,6630,6630,59670,Y
25,MALE,Masters,farming-fishing,skydiving,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,64890,7210,7210,50470,Y
48,FEMALE,College,machine-op-inspct,kayaking,wife,Parked Car,?,Trivial Damage,None,6,1,?,1,2,YES,5400,900,900,3600,N
42,MALE,College,exec-managerial,reading,not-in-family,Vehicle Theft,?,Trivial Damage,None,10,1,NO,0,0,?,5600,700,700,4200,N
41,FEMALE,College,protective-serv,yachting,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,YES,0,0,?,79300,15860,15860,47580,N
27,FEMALE,College,tech-support,exercise,unmarried,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,1,0,YES,52800,10560,5280,36960,N
41,FEMALE,JD,prof-specialty,bungie-jumping,husband,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,?,2,3,NO,28800,0,3600,25200,N
33,FEMALE,Associate,tech-support,kayaking,other-relative,Parked Car,?,Minor Damage,Police,3,1,NO,1,1,NO,2970,330,330,2310,N
54,MALE,College,other-service,basketball,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,NO,0,0,?,93480,15580,7790,70110,N
49,MALE,College,prof-specialty,kayaking,husband,Vehicle Theft,?,Minor Damage,None,4,1,YES,1,3,YES,4320,480,480,3360,N
61,FEMALE,Associate,prof-specialty,basketball,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,?,0,2,YES,79800,6650,19950,53200,Y
28,FEMALE,High School,handlers-cleaners,camping,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,1,0,?,74200,7420,14840,51940,N
47,FEMALE,PhD,machine-op-inspct,basketball,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,?,0,0,?,70590,10860,10860,48870,Y
31,FEMALE,Masters,sales,chess,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,NO,0,3,YES,60940,5540,11080,44320,Y
42,FEMALE,College,prof-specialty,video-games,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,?,1,2,YES,74700,7470,14940,52290,N
60,MALE,PhD,craft-repair,dancing,unmarried,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,YES,0,0,?,70000,14000,7000,49000,Y
41,MALE,High School,exec-managerial,polo,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,?,2,0,NO,81070,14740,14740,51590,N
32,MALE,MD,protective-serv,camping,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,?,1,1,?,57720,14430,9620,33670,N
51,MALE,Associate,armed-forces,reading,other-relative,Vehicle Theft,?,Minor Damage,None,9,1,YES,1,1,YES,7080,1180,1180,4720,N
46,MALE,MD,machine-op-inspct,hiking,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,0,1,?,47700,4770,9540,33390,Y
31,FEMALE,PhD,machine-op-inspct,bungie-jumping,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,3,NO,51260,9320,9320,32620,N
41,MALE,High School,exec-managerial,exercise,unmarried,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,?,2,2,NO,70400,6400,12800,51200,Y
38,FEMALE,PhD,transport-moving,yachting,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,NO,1,3,YES,90000,18000,9000,63000,N
39,FEMALE,Associate,adm-clerical,camping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,?,0,1,?,72820,13240,6620,52960,N
41,MALE,High School,priv-house-serv,board-games,other-relative,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,NO,2,0,?,69300,13860,13860,41580,N
36,FEMALE,MD,other-service,video-games,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,76560,12760,12760,51040,Y
38,FEMALE,Masters,other-service,skydiving,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,?,0,1,YES,55440,0,6160,49280,Y
25,FEMALE,College,prof-specialty,movies,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,4,YES,1,0,NO,77130,8570,17140,51420,N
35,FEMALE,JD,prof-specialty,paintball,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,?,42000,7000,7000,28000,N
39,MALE,JD,craft-repair,dancing,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,36300,3300,9900,23100,N
38,MALE,MD,protective-serv,video-games,unmarried,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,0,0,?,40320,5760,5760,28800,N
32,FEMALE,High School,tech-support,exercise,own-child,Parked Car,?,Minor Damage,Police,9,1,?,2,0,?,3960,330,660,2970,N
43,MALE,College,farming-fishing,basketball,wife,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,63840,10640,10640,42560,Y
28,FEMALE,Masters,sales,sleeping,husband,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,?,1,2,?,44730,4970,4970,34790,Y
45,MALE,JD,machine-op-inspct,camping,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,3,YES,1,2,NO,84720,14120,14120,56480,N
39,MALE,Masters,adm-clerical,paintball,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Other,3,3,?,2,2,NO,61500,6150,12300,43050,N
27,FEMALE,Masters,tech-support,exercise,unmarried,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,?,0,1,?,51000,8500,8500,34000,N
33,FEMALE,High School,machine-op-inspct,skydiving,wife,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,?,2,1,NO,46800,4680,9360,32760,N
32,MALE,PhD,exec-managerial,basketball,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,?,1,1,?,78120,17360,8680,52080,N
34,FEMALE,College,exec-managerial,yachting,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,?,69200,13840,6920,48440,Y
40,FEMALE,High School,sales,exercise,other-relative,Vehicle Theft,?,Minor Damage,Police,9,1,?,0,0,NO,3690,410,410,2870,N
28,FEMALE,PhD,tech-support,golf,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,NO,0,3,?,65500,6550,6550,52400,N
46,FEMALE,High School,prof-specialty,basketball,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,?,1,2,YES,76120,13840,6920,55360,N
32,FEMALE,MD,other-service,hiking,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,12260,12260,49040,N
35,MALE,Masters,machine-op-inspct,camping,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,YES,0,1,?,52030,9460,4730,37840,N
41,MALE,Masters,transport-moving,video-games,wife,Vehicle Theft,?,Trivial Damage,None,9,1,?,2,3,?,5170,470,940,3760,N
34,MALE,PhD,machine-op-inspct,video-games,own-child,Parked Car,?,Minor Damage,None,5,1,?,2,1,YES,8190,1890,1260,5040,N
29,MALE,MD,exec-managerial,yachting,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,?,2,3,?,70800,7080,14160,49560,Y
31,FEMALE,JD,farming-fishing,video-games,wife,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,?,0,3,YES,45630,5070,5070,35490,N
58,FEMALE,Associate,exec-managerial,cross-fit,wife,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,YES,2,1,?,99320,7640,15280,76400,Y
41,MALE,Masters,tech-support,polo,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,?,2,0,NO,64000,12800,6400,44800,Y
38,FEMALE,MD,other-service,golf,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,?,1,1,?,47300,4730,4730,37840,N
27,MALE,PhD,adm-clerical,reading,not-in-family,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,NO,2,3,?,71680,8960,8960,53760,Y
41,FEMALE,JD,craft-repair,skydiving,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Other,1,1,?,1,0,YES,112320,17280,17280,77760,Y
32,FEMALE,PhD,farming-fishing,base-jumping,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,?,1,0,?,82720,7520,15040,60160,N
45,MALE,Masters,priv-house-serv,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,?,2,1,?,48060,10680,5340,32040,N
32,MALE,High School,exec-managerial,kayaking,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,YES,1,3,YES,63570,9780,9780,44010,Y
54,FEMALE,Masters,craft-repair,paintball,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,?,63240,10540,10540,42160,N
33,FEMALE,Masters,other-service,reading,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,NO,1,3,?,54240,9040,9040,36160,Y
50,MALE,Associate,sales,bungie-jumping,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,YES,2,3,NO,37280,0,0,37280,Y
61,MALE,JD,exec-managerial,exercise,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,?,2,1,YES,72100,7210,14420,50470,N
59,FEMALE,JD,prof-specialty,hiking,other-relative,Parked Car,?,Minor Damage,None,8,1,?,2,3,NO,6500,1300,650,4550,N
38,MALE,Masters,machine-op-inspct,movies,not-in-family,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,?,2,0,?,78240,13040,13040,52160,N
29,FEMALE,JD,transport-moving,video-games,other-relative,Vehicle Theft,?,Minor Damage,Police,9,1,?,2,0,?,6200,1240,620,4340,N
36,FEMALE,Associate,priv-house-serv,reading,unmarried,Parked Car,?,Minor Damage,Police,0,1,YES,2,3,?,6160,560,1680,3920,N
48,FEMALE,MD,farming-fishing,dancing,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,?,2,0,?,76050,11700,11700,52650,N
48,FEMALE,MD,exec-managerial,polo,unmarried,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,86060,13240,13240,59580,N
30,FEMALE,Masters,prof-specialty,sleeping,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,YES,2,0,NO,107900,10790,21580,75530,Y
34,FEMALE,Masters,prof-specialty,polo,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,0,YES,99990,18180,18180,63630,N
29,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,11160,5580,44640,N
28,FEMALE,Associate,craft-repair,board-games,unmarried,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,?,2,1,YES,71280,12960,12960,45360,Y
45,MALE,High School,farming-fishing,yachting,unmarried,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,NO,0,0,NO,64000,12800,6400,44800,N
46,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,Parked Car,?,Trivial Damage,Police,7,1,?,0,1,NO,5940,660,660,4620,N
37,MALE,High School,other-service,movies,not-in-family,Parked Car,?,Minor Damage,None,18,1,NO,1,0,NO,6700,670,670,5360,N
42,MALE,Associate,armed-forces,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,?,51740,11940,7960,31840,N
28,MALE,High School,machine-op-inspct,hiking,husband,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,?,0,1,YES,53600,6700,6700,40200,Y
29,MALE,College,protective-serv,board-games,wife,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,?,44910,4990,4990,34930,N
